,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
5345,한양대 예강 태권도 합기도 YG 줄넘기클럽,태권도,충남,서산시,충청남도 서산시 고운로 267,(동문동) 태정빌딩 201호,419208866,한양대 예강 태권도 합기도 YG줄넘기클럽,126.4648877,36.78454941
5346,올림픽오스카체육관,태권도,충남,서산시,충청남도 서산시 성연면 성연5로 92-7,(서산 금호어울림에듀퍼스트) 206동 201호,419206861,태권도,126.4448055,36.82434277
5347,서산태권도체육관,태권도,충남,서산시,충청남도 서산시 동서1로 101,지하1층 서산태권도장 (석남동),416688868,태권도,126.4597771,36.76656648
5349,충원체육관,태권도,충남,서산시,충남 서산시 인지면 둔당리,248-3,416621688,태권도,126.4258462,36.75461327
5350,이글체육관,태권도,충남,서산시,충남 서산시 운산면 용장리,364-14,,이글체육관,126.5915522,36.80191366
5351,안면방포체육관,태권도,충남,태안군,충청남도 태안군 안면읍 장터로 170,안면 방포체육관,,태권도(유아체육및학교체육),126.3454803,36.5222143
5353,용인대 솔로몬 태권도장,태권도,충남,태안군,충남 태안군 태안읍 동문리,691-2,416720061,태권도/줄넘기,126.3102982,36.74491651
5355,삼성태권도장,태권도,충남,서산시,충청남도 서산시 남부순환로 767,"301호(삼성플라자)(죽성동, 삼성아파트)",416671646,태권도,126.4475202,36.74672755
5356,경희대박사태권아카데미,태권도,충남,서산시,충청남도 서산시 고운로 275-2,자성빌딩 5층  (동문동),,태권도,126.4660734,36.78468126
5357,흑추관총본부,합기도,대전,대덕구,대전광역시 대덕구 계족로489번길 80,4층(중리동),426330075,합기도,127.4285097,36.35572926
5358,호림태권도장,태권도,경기,성남시,경기도 성남시 수정구 수정로 316,"상가 3층,4층 호림태권도장(신흥동, 우찬셀레스빌)",,태권도,127.149212,37.45170473
5359,신은태우태권도,태권도,서울,양천구,서울특별시 양천구 신정이펜2로 20,"(신정동) 701호, 702호",,태권도 수업,126.8322893,37.51273825
5360,참바른친구 태권도,태권도,대구,북구,대구광역시 북구 대천로7길 40,"상가3층 참바른친구 태권도(읍내동, 칠곡산호한양아파트)",533120315,태권도 수련,128.5557749,35.94103878
5361,경희대 국가대표 탑태권도,태권도,제주,제주시,제주특별자치도 제주시 정존3길 26,"단지내 상가2층 경희대 국가대표 탑태권도(노형동, 헤레스 노형)",647432220,태권도,126.4722191,33.48381856
5362,최승희태권도,태권도,전남,무안군,전라남도 무안군 삼향읍 남악5로72번길 28,1층 최승희태권도,612847228,최승희태권도,126.473984,34.81164796
5363,가좌검도관,검도,인천,서구,인천광역시 서구 장고개로337번길 7,모건베스트원 7층(가좌동),325827172,수련,126.6860202,37.49277897
5364,용인대 탑 태권도장,태권도,경기,양주시,경기도 양주시 고읍남로39번길 55,나준빌딩 3층 용인대 탑 태권도장(광사동),318213788,태권도,127.0795966,37.79102736
5365,펀치라인 복싱점,복싱,경기,의정부시,경기도 의정부시 오목로225번길 173,거택프라자204 펀치라인복싱짐(민락동),318510719,펀치라인복싱,127.0969149,37.74470335
5366,검은독수리 최강합기도 교육관,합기도,충북,청주시,충청북도 청주시 서원구 산남로 75,웰빙프라자 402호 최강합기도(산남동),432947575,합기도,127.4657086,36.61086373
5368,경기광주주짓수 킥복싱,기타종목,경기,광주시,경기도 광주시 중앙로145번길 22,신원플러스타운 201호(경안동),317661922,주짓수 킥복싱 종합격투기,127.2544687,37.4129075
5371,S.F.A SPORTS,축구(풋살),충북,진천군,충청북도 진천군 진천읍 지암3길 21-11,FC CTS,,FC CTS 축구교실,127.4080148,36.82030489
5372,FC CTS 유소년 축구클럽 청주점,축구(풋살),충북,청주시,충청북도 청주시 청원구 공항로 446,"(오동동,공항풋살장 FC CTS)",,초등 저학년 축구교실,127.4771191,36.695409
5373,라이노짐,기타종목,충북,청주시,충청북도 청주시 상당구 월평로 221,"효성아파트상가 지하3호(용암동, 효성아파트)",432879991,주짓수,127.5081547,36.60841791
5374,파라에스트라,기타종목,충북,청주시,충청북도 청주시 청원구 율봉로 130,(율량동)2층,432111517,주짓수,127.4833832,36.66780041
5375,네오풋볼아카데미,축구(풋살),충북,청주시,충청북도 청주시 흥덕구 무심서로 809,충북풋살장(신봉동),432693899,축구,127.4684405,36.66049748
5376,커브스용암1클럽,헬스,충북,청주시,충청북도 청주시 상당구 월평로184번길 111,커브스3층(용암동),,커브스 용암,127.5039308,36.60830383
5377,거제주짓수팩토리,기타종목,경남,거제시,경상남도 거제시 계룡로 39,3층(상동동),556340240,주짓수,128.6276158,34.87484598
5378,백두체육관2도장,합기도,광주,남구,광주광역시 남구 노대실로 48,2층 백두체육관2도장(노대동),626762201,합기도 &amp; 킥복싱,126.9059816,35.10535993
5379,아이콘스포츠,롤러인라인,경기,광명시,경기도 광명시 하안로 294-5,지하1층(하안동),28998976,인라인수업(주2회),126.8806553,37.46236907
5380,월드필라테스,필라테스,인천,계양구,인천광역시 계양구 계양대로 52-1,오렌지스퀘어D동 202호(작전동),,그룹필라테스1개월,126.7235963,37.52836647
5382,바디업휘트니스,헬스,강원,홍천군,강원도 홍천군 홍천읍 홍천로 344,2층 바디업휘트니스 홍천점,334357570,헬스 1개월,127.8836733,37.68830972
5383,비와이짐,헬스,충북,청주시,충청북도 청주시 상당구 산성로98번길 8,1층2층(금천동),432768853,PT,127.5038838,36.63143189
5385,덕벌태권도체육관,태권도,충북,청주시,충북 청주시 상당구 내덕1동 652-19,,,태권도(6부),127.4800872,36.65613057
5386,용인대 국가대표 케이탑 태권도,태권도,충북,청주시,충북 청주시 상당구 용암동,2540 부영3차,432878866,태권도교육,127.5082907,36.6127305
5387,대도검도관,검도,충북,청주시,충북 청주시 상당구 율량동,920번지 대도검도관,432117080,검도수련(2),127.5156824,36.6638539
5388,신사유도합기도,합기도,충북,청주시,충청북도 청주시 청원구 공항로150번길 136,(율량동)2층,,합기도반(초등부),127.4913526,36.66980749
5389,오송태권도,태권도,충북,청주시,충청북도 청주시 흥덕구 오송읍 오송생명로 208-8,일신빌딩 401호,432327544,태권도,127.3318903,36.62992127
5390,괴산월드태권도,태권도,충북,괴산군,충북 괴산군 괴산읍 서부리,277-5 태광@상가3층,438349960,태권도,127.7841302,36.81686241
5391,경희대엘리트태권도,태권도,충북,청주시,충북 청주시 상당구 율량동 910번지,현대프라자4층,432165028,태권도,127.4877193,36.66840631
