FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
CKD무도휘트니스,30,대전,30170,서구,24890688,3.01704E+11,대전광역시 서구 청사로123번길 34신안빌딩5층 무도휘트니스(월평동),127.3776662,36.3613219,다바890182
CL 클라이밍,41,경기,41590,화성시,,4.15902E+11,경기도 화성시 동탄대로 495그란비아스타 6층 6123호(오산동),127.0982597,37.197969,다사643110
CL필라테스 동백점,41,경기,41460,용인시,312746378,4.14633E+11,경기도 용인시 기흥구 동백중앙로 2736층 601호 CL필라테스(중동),127.1534587,37.2770114,다사692198
CMK center,48,경남,48330,양산시,,4.83305E+11,경상남도 양산시 물금읍 야리3길 49원타운301호,129.0113282,35.3149395,마마373032
DS당구클럽,41,경기,41360,남양주시,315924939,4.13603E+11,경기도 남양주시 화도읍 맷돌로 1187층,127.3032852,37.6572967,다사826619
Dream of Judo 태평유도관,30,대전,30140,중구,424860608,3.01403E+11,대전광역시 중구 평촌로 108미소빌딩 5층(유천동),127.3987347,36.322607,다바909139
D파이널짐,44,충남,44800,홍성군,416346631,4.48003E+11,충청남도 홍성군 홍북읍 홍학로 81모아빌딩 601호 D파이널짐,126.6751368,36.6477274,다바262502
ED wings드론아카데미,51,강원,51170,동해시,335352130,5.11703E+11,강원특별자치도 동해시 발한로 863층 ED wings드론아카데미(부곡동),129.1020401,37.5401415,마사415501
EG태권도,26,부산,26320,북구,23333525,2.63203E+11,부산광역시 북구 덕천로 308농협3층MTA E.G태권도,129.0376286,35.2092797,마라399915
ES스포렉스,51,강원,51770,정선군,335638400,5.17703E+11,강원도 정선군 정선읍 녹송로 96ES스포렉스,128.6711004,37.3855177,마사036324
EXR스포츠센타,48,경남,48170,진주시,557586100,4.81703E+11,경상남도 진주시 대신로 304홈플러스 8층 EXR스포츠센타(상대동),128.1176887,35.1875547,라라562882
FC CANNON,27,대구,27260,수성구,537830337,2.72604E+11,대구광역시 수성구 달구벌대로528길 15수성대학교 숲속운동장 사무실(만촌동),128.6482213,35.853323,마마036624
FLEX GX STUDIO,48,경남,48330,양산시,553825983,4.83303E+11,경상남도 양산시 물금읍 증산역로 139207호,129.0056342,35.3103533,마마368026
Friends Sports Center (창원 프렌즈 스포츠센터),48,경남,48120,창원시,,4.81235E+11,경상남도 창원시 성산구 대원로27번길 222층 프렌즈농구교실(대원동),128.6511133,35.2320514,마라047935
G9탁구교실,26,부산,26470,연제구,518654321,2.64704E+11,"부산광역시 연제구 과정로344번길 43지하,  G9탁구교실(연산동)",129.0921454,35.1920158,마라449896
GDR실내골프연습장,41,경기,41590,화성시,313557776,4.15903E+11,경기도 화성시 수노을2로 79층(새솔동),126.8166243,37.285504,다사394209
GDR아카데미 대전만년점,30,대전,30170,서구,427163333,3.01704E+11,대전광역시 서구 만년로68번길 384층(만년동),127.3805557,36.3653576,다바892186
GG볼링장,41,경기,41270,안산시,315010279,4.12713E+11,경기도 안산시 상록구 감골1로 27729동105호(사동),126.8524953,37.2878817,다사426211
GL피트니스,27,대구,27140,동구,266260146,2.71403E+11,대구광역시 동구 안심로 372각산역 3번 출구 앞 덕산빌딩 3층(신서동),128.7250872,35.8679954,마마106641
"GMA해동검도,합기도",41,경기,41220,평택시,316652587,4.12202E+11,"경기도 평택시 경기대로 15252층 GMA해동검도,합기도(지산동)",127.0622926,37.080504,다바610980
GMT대동무예스쿨,11,서울,11740,강동구,24753577,1.17404E+11,서울시 강동구 천중로29길 322층,127.1371344,37.5430691,다사679493
